county_id,County Name Broward,State Name,Total,Origin County Name,Origin State Name
12001,Alachua County,Florida,1463,Broward,Florida
12003,Baker County,Florida,24,Broward,Florida
12005,Bay County,Florida,423,Broward,Florida
12007,Bradford County,Florida,34,Broward,Florida
12009,Brevard County,Florida,652,Broward,Florida
12013,Calhoun County,Florida,22,Broward,Florida
12015,Charlotte County,Florida,769,Broward,Florida
12017,Citrus County,Florida,147,Broward,Florida
12019,Clay County,Florida,775,Broward,Florida
12021,Collier County,Florida,1335,Broward,Florida
12023,Columbia County,Florida,155,Broward,Florida
12027,DeSoto County,Florida,29,Broward,Florida
12029,Dixie County,Florida,3,Broward,Florida
12031,Duval County,Florida,1433,Broward,Florida
12033,Escambia County,Florida,306,Broward,Florida
12035,Flagler County,Florida,85,Broward,Florida
12037,Franklin County,Florida,17,Broward,Florida
12039,Gadsden County,Florida,37,Broward,Florida
12041,Gilchrist County,Florida,88,Broward,Florida
12043,Glades County,Florida,45,Broward,Florida
12045,Gulf County,Florida,13,Broward,Florida
12047,Hamilton County,Florida,28,Broward,Florida
12049,Hardee County,Florida,27,Broward,Florida
12051,Hendry County,Florida,12,Broward,Florida
12053,Hernando County,Florida,181,Broward,Florida
12055,Highlands County,Florida,295,Broward,Florida
12057,Hillsborough County,Florida,2254,Broward,Florida
12059,Holmes County,Florida,0,Broward,Florida
12061,Indian River County,Florida,493,Broward,Florida
12063,Jackson County,Florida,37,Broward,Florida
12067,Lafayette County,Florida,21,Broward,Florida
12069,Lake County,Florida,738,Broward,Florida
12071,Lee County,Florida,1635,Broward,Florida
12073,Leon County,Florida,1363,Broward,Florida
12075,Levy County,Florida,14,Broward,Florida
12077,Liberty County,Florida,13,Broward,Florida
12079,Madison County,Florida,34,Broward,Florida
12081,Manatee County,Florida,245,Broward,Florida
12083,Marion County,Florida,634,Broward,Florida
12085,Martin County,Florida,246,Broward,Florida
12086,Miami-Dade County,Florida,10416,Broward,Florida
12087,Monroe County,Florida,164,Broward,Florida
12089,Nassau County,Florida,53,Broward,Florida
12091,Okaloosa County,Florida,38,Broward,Florida
12093,Okeechobee County,Florida,66,Broward,Florida
12095,Orange County,Florida,4137,Broward,Florida
12097,Osceola County,Florida,410,Broward,Florida
12099,Palm Beach County,Florida,13389,Broward,Florida
12101,Pasco County,Florida,223,Broward,Florida
12103,Pinellas County,Florida,681,Broward,Florida
12105,Polk County,Florida,503,Broward,Florida
12107,Putnam County,Florida,57,Broward,Florida
12109,St. Johns County,Florida,357,Broward,Florida
12111,St. Lucie County,Florida,1391,Broward,Florida
12113,Santa Rosa County,Florida,39,Broward,Florida
12115,Sarasota County,Florida,421,Broward,Florida
12117,Seminole County,Florida,729,Broward,Florida
12119,Sumter County,Florida,140,Broward,Florida
12121,Suwannee County,Florida,167,Broward,Florida
12123,Taylor County,Florida,84,Broward,Florida
12125,Union County,Florida,22,Broward,Florida
12127,Volusia County,Florida,672,Broward,Florida
12129,Wakulla County,Florida,12,Broward,Florida
12131,Walton County,Florida,13,Broward,Florida
12133,Washington County,Florida,0,Broward,Florida